,train_acc_half_reg,test_acc_half_reg,NC1_reg,NC2_reg,NC3_reg,NC4_reg,test_acc_reg,train_time_reg,NC1,NC2,NC3,NC4,test_acc,train_time,NC1_SP,NC2_SP,NC3_SP,NC4_SP,test_acc_SP,train_time_SP,train_acc_half,test_acc_half,train_acc_half_SP,test_acc_half_SP
5,0.36191999912261963,0.3504746835443038,16.381162643432617,0.3391006588935852,0.9781667590141296,0.53564,0.604628164556962,626.3488099575043,14.402053833007812,0.3603094220161438,0.9937995672225952,0.56504,0.6231210443037974,1170.7507996559143,14.780786514282227,0.36038538813591003,0.994097888469696,0.57016,0.6682159810126582,878.360015630722,0.3870296555818344,0.36075949367088606,0.1014827806122449,0.09889240506329114
10,0.45343998074531555,0.4239517405063291,13.2171049118042,0.338759183883667,0.9455552101135254,0.56332,0.6030458860759493,597.7997334003448,10.11552906036377,0.3644177317619324,0.9686000347137451,0.62548,0.6271756329113924,1111.6460719108582,10.33007526397705,0.3646605312824249,0.9684154987335205,0.621,0.6621835443037974,838.7318675518036,0.4790975766218438,0.42385284810126583,0.09838966837114825,0.09948575949367089
15,0.5112000107765198,0.4579707278481013,11.526361465454102,0.33634012937545776,0.918687105178833,0.6136,0.6025514240506329,574.1458024978638,7.258748531341553,0.36044007539749146,0.9332797527313232,0.68048,0.6227254746835443,1053.1910531520844,7.489041328430176,0.3606310486793518,0.9349279403686523,0.68048,0.6667325949367089,803.371550321579,0.5430086096938775,0.4709256329113924,0.09849330357142858,0.10096914556962025
20,0.5577600002288818,0.48753955696202533,10.77660846710205,0.32941097021102905,0.8950119614601135,0.5866,0.6011669303797469,553.2155883312225,5.339766979217529,0.3503434658050537,0.896583080291748,0.72804,0.6166930379746836,994.62344789505,5.4186320304870605,0.3507786989212036,0.8983412981033325,0.73208,0.6558544303797469,745.6412949562073,0.6027742347546986,0.5024723101265823,0.09901945156102278,0.10096914556962025
25,0.6036799550056458,0.5089992088607594,9.777166366577148,0.31971269845962524,0.8710781931877136,0.61864,0.599881329113924,520.9699141979218,4.052570343017578,0.33712783455848694,0.8600136041641235,0.76112,0.6130340189873418,916.6843402385712,4.100077152252197,0.33704695105552673,0.8606114387512207,0.76416,0.657931170886076,705.4462051391602,0.6524394133261272,0.5247231012658228,0.09866868622829111,0.10096914556962025
30,0.6503199934959412,0.5260087025316456,9.621111869812012,0.308521032333374,0.8395742177963257,0.6314,0.5956289556962026,503.1013104915619,3.084416389465332,0.32248374819755554,0.8265706896781921,0.7888,0.6145174050632911,857.9733536243439,3.1715662479400635,0.3218281865119934,0.8274269104003906,0.7858,0.6499208860759493,666.2400815486908,0.7088169644073564,0.5405458860759493,0.09866868622829111,0.10096914556962025
35,0.6906799674034119,0.5372824367088608,9.249313354492188,0.2967270016670227,0.8205387592315674,0.65984,0.5946400316455697,457.98711347579956,2.3978288173675537,0.3070071041584015,0.789026141166687,0.80912,0.6054193037974683,818.9892451763153,2.486879825592041,0.3079245984554291,0.7921829223632812,0.80952,0.6498219936708861,607.1257400512695,0.7612882654885856,0.5517207278481012,0.09884406888515365,0.10096914556962025
40,0.7354399561882019,0.5471716772151899,8.389632225036621,0.28493860363960266,0.7971859574317932,0.6652,0.5974090189873418,446.90464997291565,1.9506711959838867,0.29164016246795654,0.7603902220726013,0.83192,0.6015625,760.7882492542267,1.9897682666778564,0.2916313707828522,0.763243556022644,0.82732,0.6487341772151899,567.7742800712585,0.8115672831024442,0.5592365506329114,0.09893176020408163,0.10096914556962025
45,0.7783199548721313,0.5495450949367089,8.293055534362793,0.2732834815979004,0.7631184458732605,0.68228,0.5948378164556962,414.5103135108948,1.6944210529327393,0.27695369720458984,0.7319203019142151,0.84596,0.6038370253164557,702.2035720348358,1.7043226957321167,0.27668312191963196,0.7328544855117798,0.84372,0.6400316455696202,529.1331548690796,0.8401705996722592,0.5586431962025317,0.09910714284193758,0.10096914556962025
50,0.8233199715614319,0.5558742088607594,8.16437816619873,0.2625291049480438,0.7436714172363281,0.70028,0.5907832278481012,383.2329556941986,1.3979800939559937,0.26287782192230225,0.7029487490653992,0.86756,0.6029469936708861,624.3329062461853,1.4305881261825562,0.26300370693206787,0.7022846937179565,0.86788,0.629746835443038,489.9152534008026,0.8857382015914333,0.5585443037974683,0.09893176020408163,0.10096914556962025
55,0.8637199997901917,0.5562697784810127,6.688498020172119,0.2526788115501404,0.7257810831069946,0.72492,0.5888053797468354,365.1205539703369,1.1619493961334229,0.2508050799369812,0.6699956655502319,0.9018,0.599881329113924,585.5274755954742,1.1890376806259155,0.2505013644695282,0.6703585982322693,0.89488,0.6278678797468354,450.531414270401,0.945735012694281,0.5663568037974683,0.09866868622829111,0.10096914556962025
60,0.9009199738502502,0.5519185126582279,7.850375652313232,0.2441266030073166,0.6959855556488037,0.7522,0.5822784810126582,340.80891132354736,1.068284273147583,0.24073413014411926,0.6444720029830933,0.91484,0.6023536392405063,546.4508373737335,1.0834693908691406,0.24038909375667572,0.6455560922622681,0.9106,0.6307357594936709,430.90976881980896,0.9451052297134789,0.5651700949367089,0.09928252555581989,0.10096914556962025
65,0.9341599941253662,0.5526107594936709,6.827894687652588,0.23717950284481049,0.6783812046051025,0.78252,0.5831685126582279,319.664315700531,0.9854275584220886,0.23265329003334045,0.6265188455581665,0.9256,0.5987935126582279,526.6035013198853,1.0367940664291382,0.23260091245174408,0.6300764679908752,0.91936,0.6303401898734177,411.40593099594116,0.96484375,0.5607199367088608,0.09893176020408163,0.10096914556962025
70,0.9554399847984314,0.5500395569620253,7.4085693359375,0.2322194129228592,0.6558104157447815,0.79736,0.5808939873417721,298.5305726528168,0.8529295325279236,0.22648148238658905,0.6024081110954285,0.94848,0.5943433544303798,488.0273196697235,0.8820676207542419,0.22661027312278748,0.6043670177459717,0.94352,0.6270767405063291,392.02567529678345,0.9858816965502135,0.5603243670886076,0.09858099489985984,0.10096914556962025
75,0.972599983215332,0.5501384493670886,8.192387580871582,0.22858229279518127,0.6444461941719055,0.80332,0.577432753164557,277.1942114830017,0.7758330702781677,0.221917062997818,0.5818290114402771,0.96752,0.5975079113924051,467.9669678211212,0.7960615754127502,0.22227919101715088,0.582363486289978,0.96172,0.625,372.70894598960876,0.9976482780612245,0.5670490506329114,0.09893176020408163,0.10096914556962025
80,0.9845199584960938,0.5497428797468354,8.569292068481445,0.22632405161857605,0.6277701258659363,0.83024,0.5760482594936709,277.2672107219696,0.7154436707496643,0.21846641600131989,0.5664045214653015,0.9776,0.5956289556962026,467.5908308029175,0.7383905649185181,0.21816681325435638,0.5692968368530273,0.97328,0.6220332278481012,353.29809403419495,0.9995615433673469,0.5704113924050633,0.09875637756622567,0.10096914556962025
85,0.9928399920463562,0.5480617088607594,9.640631675720215,0.2252393364906311,0.6206328868865967,0.84416,0.5813884493670886,268.5452163219452,0.7224337458610535,0.21583789587020874,0.5572540760040283,0.97788,0.5940466772151899,448.06809735298157,0.7360531687736511,0.21586742997169495,0.5592498183250427,0.97356,0.6252966772151899,353.1714792251587,0.9971699617346939,0.5664556962025317,0.09901945156102278,0.10096914556962025
90,0.994159996509552,0.5483583860759493,11.830290794372559,0.22477731108665466,0.6170854568481445,0.83708,0.5797072784810127,258.18788146972656,0.6536197066307068,0.21377359330654144,0.5453599095344543,0.98616,0.5935522151898734,428.6128509044647,0.6675540208816528,0.2137994021177292,0.5479636192321777,0.98416,0.6248022151898734,353.09432458877563,0.9995615433673469,0.5639833860759493,0.09893176020408163,0.10096914556962025
95,0.9971599578857422,0.5458860759493671,13.695404052734375,0.22489617764949799,0.6178678870201111,0.84432,0.5784216772151899,258.3450253009796,0.630736768245697,0.2120172083377838,0.5322850346565247,0.9904,0.6000791139240507,428.589143037796,0.6497606635093689,0.21204063296318054,0.535406768321991,0.98744,0.6227254746835443,353.14668798446655,1.0,0.5678401898734177,0.09893176020408163,0.10096914556962025
100,0.9987199902534485,0.5454905063291139,16.464656829833984,0.22559835016727448,0.6152912974357605,0.84576,0.5799050632911392,247.3979651927948,0.6601747870445251,0.2106665074825287,0.537875771522522,0.984,0.5942444620253164,409.3200771808624,0.6662420630455017,0.21068821847438812,0.5389767289161682,0.98324,0.6217365506329114,353.0940260887146,0.9932238520408163,0.5619066455696202,0.09910714284193758,0.10096914556962025
105,0.9974799752235413,0.5471716772151899,18.070993423461914,0.2266654670238495,0.6128571033477783,0.91328,0.580498417721519,236.49521803855896,0.5824381113052368,0.2093992531299591,0.5203680992126465,0.99572,0.5947389240506329,409.3005518913269,0.6023195385932922,0.2094193994998932,0.5236576795578003,0.99284,0.6212420886075949,333.4398708343506,1.0,0.5681368670886076,0.09866868622829111,0.10096914556962025
110,0.9983199834823608,0.547567246835443,25.234628677368164,0.22827491164207458,0.6118031144142151,0.85288,0.5787183544303798,247.76512217521667,0.5749875903129578,0.2083754986524582,0.5172595977783203,0.99632,0.5958267405063291,409.216744184494,0.592868983745575,0.20825469493865967,0.5204522013664246,0.99476,0.6221321202531646,333.769850730896,1.0,0.5698180379746836,0.09866868622829111,0.10096914556962025
115,0.9982399940490723,0.543809335443038,37.363067626953125,0.23055872321128845,0.6202583312988281,0.91852,0.576443829113924,236.7628893852234,0.5654940009117126,0.207448348402977,0.5093381404876709,0.99668,0.5938488924050633,409.7074890136719,0.5882890224456787,0.2073288857936859,0.5135133862495422,0.99524,0.6215387658227848,333.44582056999207,1.0,0.5673457278481012,0.09884406888515365,0.10096914556962025
