,train_acc_half_reg,test_acc_half_reg,NC1_reg,NC2_reg,NC3_reg,NC4_reg,test_acc_reg,train_time_reg,NC1,NC2,NC3,NC4,test_acc,train_time,NC1_SP,NC2_SP,NC3_SP,NC4_SP,test_acc_SP,train_time_SP,train_acc_half,test_acc_half,train_acc_half_SP,test_acc_half_SP
5,0.36735999584198,0.3572982594936709,18.383581161499023,0.3762603998184204,1.0082776546478271,0.51612,0.6094738924050633,682.2965841293335,16.59219741821289,0.3593316972255707,1.0058635473251343,0.53564,0.6007713607594937,714.9094347953796,16.896764755249023,0.3588458299636841,1.006667137145996,0.53744,0.6613924050632911,859.7906093597412,0.3841836735302088,0.3494857594936709,0.09940210463745254,0.09889240506329114
10,0.44735997915267944,0.41564477848101267,14.720488548278809,0.3772786259651184,0.9832832217216492,0.59772,0.6081882911392406,659.940190076828,11.675724029541016,0.36804407835006714,0.989992082118988,0.5916,0.6029469936708861,655.8917398452759,11.675482749938965,0.3679099678993225,0.9908677339553833,0.59116,0.6606012658227848,818.353351354599,0.4755181759899976,0.4182159810126582,0.0987005739814925,0.09889240506329114
15,0.5077999830245972,0.4509493670886076,12.830471992492676,0.37136751413345337,0.950206995010376,0.6048,0.6060126582278481,638.0299003124237,7.8729567527771,0.3646314740180969,0.9545772671699524,0.64588,0.5981012658227848,586.9824223518372,8.139370918273926,0.364521861076355,0.9550661444664001,0.63808,0.6610957278481012,779.3098936080933,0.5452885843661367,0.4584651898734177,0.09905133928571429,0.09889240506329114
20,0.5486400127410889,0.4788370253164557,12.473692893981934,0.36203551292419434,0.9313936233520508,0.6168,0.6084849683544303,604.1394839286804,5.686919212341309,0.3549494445323944,0.9147539138793945,0.6876,0.59375,545.2999649047852,5.806885719299316,0.35518091917037964,0.9158783555030823,0.68452,0.6507120253164557,721.0250732898712,0.5977758290816326,0.48813291139240506,0.0989636479667863,0.09889240506329114
25,0.5877599716186523,0.5068235759493671,12.467531204223633,0.35136809945106506,0.9111850261688232,0.6094,0.6045292721518988,582.331289768219,4.0805840492248535,0.34248241782188416,0.877824604511261,0.72164,0.590684335443038,512.0532395839691,4.188575267791748,0.34257617592811584,0.8793346881866455,0.72272,0.6474485759493671,662.6145560741425,0.653938137755102,0.5118670886075949,0.09887595664785832,0.09889240506329114
30,0.6218000054359436,0.5222507911392406,13.220553398132324,0.34027260541915894,0.8935069441795349,0.56412,0.6071004746835443,560.129141330719,3.09734845161438,0.32862386107444763,0.8415147662162781,0.75448,0.5887064873417721,477.26332926750183,3.1844871044158936,0.3283669054508209,0.8441691398620605,0.75048,0.6407238924050633,623.465434551239,0.7101323343053156,0.525118670886076,0.09887595664785832,0.09889240506329114
35,0.656719982624054,0.5298655063291139,13.52026653289795,0.3296602964401245,0.8739422559738159,0.595,0.6017602848101266,538.6338384151459,2.422572374343872,0.3137763738632202,0.8109679222106934,0.7858,0.5878164556962026,431.91962480545044,2.4822537899017334,0.3140142560005188,0.8122420907020569,0.77828,0.6367681962025317,585.0891349315643,0.757621173651851,0.536689082278481,0.09878826530992377,0.09889240506329114
40,0.6909599900245667,0.5434137658227848,15.737048149108887,0.3194099962711334,0.8456207513809204,0.58788,0.6002768987341772,504.10092425346375,1.9487758874893188,0.298428475856781,0.7771908640861511,0.80932,0.5825751582278481,398.24973320961,1.9846861362457275,0.29835349321365356,0.77955162525177,0.80272,0.6276700949367089,526.4936165809631,0.803093112244898,0.5375791139240507,0.09922672192357024,0.09889240506329114
45,0.7245199680328369,0.549248417721519,17.850269317626953,0.3101714849472046,0.8288381695747375,0.59012,0.5949367088607594,493.04162192344666,1.5545135736465454,0.2839098870754242,0.7405681610107422,0.84264,0.5839596518987342,375.43839955329895,1.5660430192947388,0.2839038372039795,0.7425304055213928,0.8358,0.6183742088607594,487.35398745536804,0.8745296557947081,0.5443037974683544,0.09905133928571429,0.09889240506329114
50,0.7572799921035767,0.5559731012658228,21.94580078125,0.3019041121006012,0.8096524477005005,0.60076,0.5956289556962026,470.76009488105774,1.2976100444793701,0.27046144008636475,0.709742546081543,0.86276,0.5833662974683544,341.4299416542053,1.3422212600708008,0.27043527364730835,0.7132691740989685,0.859,0.6173852848101266,467.52286982536316,0.9207669006926673,0.5474683544303798,0.09905133928571429,0.09889240506329114
55,0.7835599780082703,0.5533030063291139,28.19842529296875,0.29499730467796326,0.8131794929504395,0.58484,0.5942444620253164,448.56444549560547,1.156322717666626,0.2589927613735199,0.6788362264633179,0.89072,0.5832674050632911,318.6373460292816,1.2007559537887573,0.2589150667190552,0.6842601895332336,0.87952,0.614814082278481,429.6410939693451,0.948796237305719,0.5427215189873418,0.0989636479667863,0.09889240506329114
60,0.8097599744796753,0.5585443037974683,42.617225646972656,0.29001009464263916,0.7909318804740906,0.5924,0.5978045886075949,426.2540211677551,0.9860855340957642,0.249586820602417,0.6487555503845215,0.92064,0.5784216772151899,306.93986988067627,1.0167415142059326,0.249908909201622,0.6512959003448486,0.91532,0.6098694620253164,409.9988605976105,0.9777423468779545,0.5434137658227848,0.09931441328051138,0.09889240506329114
65,0.8238799571990967,0.5606210443037974,73.39288330078125,0.2876884639263153,0.7811762690544128,0.54372,0.5969145569620253,414.90196681022644,0.8729214668273926,0.24238836765289307,0.6279374957084656,0.94424,0.578817246835443,284.6814181804657,0.8866559863090515,0.24207662045955658,0.6293784976005554,0.93888,0.6083860759493671,390.54306411743164,0.9930644132653061,0.5444026898734177,0.09905133928571429,0.09889240506329114
70,0.7940399646759033,0.5600276898734177,168.38174438476562,0.2895330786705017,0.813749372959137,0.57264,0.5946400316455697,392.08207058906555,0.8188551068305969,0.236981600522995,0.6065574288368225,0.9562,0.5792128164556962,272.65126395225525,0.8402908444404602,0.23711133003234863,0.6087296605110168,0.95388,0.6065071202531646,371.04812026023865,0.9948979591836735,0.5449960443037974,0.09878826530992377,0.09889240506329114
75,0.23627999424934387,0.21340981012658228,15.01416015625,0.29867783188819885,1.1043627262115479,0.07968,0.6272745253164557,638.7114837169647,0.7583584189414978,0.23273903131484985,0.5916784405708313,0.97276,0.5775316455696202,261.142778635025,0.7965012192726135,0.23279711604118347,0.5959683656692505,0.96532,0.6035403481012658,351.49916648864746,0.998046875,0.5448971518987342,0.0989636479667863,0.09889240506329114
80,0.1457199901342392,0.12648338607594936,14.230475425720215,0.30219727754592896,1.2778544425964355,0.04716,0.6267800632911392,797.1106269359589,0.6992122530937195,0.22950059175491333,0.5713887214660645,0.98376,0.5771360759493671,249.8847897052765,0.7242420315742493,0.22977504134178162,0.5753591656684875,0.9774,0.6038370253164557,351.62531208992004,0.9998804209183674,0.5449960443037974,0.09905133928571429,0.09889240506329114
85,0.11195999383926392,0.1272745253164557,28.371143341064453,0.2964223623275757,1.2994556427001953,0.02564,0.6105617088607594,988.6946544647217,0.6710039973258972,0.22684933245182037,0.560806930065155,0.9886,0.5772349683544303,238.869393825531,0.688917338848114,0.22711357474327087,0.5638071894645691,0.9842,0.602254746835443,332.362802028656,0.9999601403061225,0.5427215189873418,0.0987005739814925,0.09889240506329114
90,0.11831999570131302,0.10808939873417721,262.1494140625,0.29237863421440125,1.3118255138397217,0.0166,0.6019580696202531,1120.3045670986176,0.64481520652771,0.2247810661792755,0.5500709414482117,0.9902,0.5773338607594937,238.60590934753418,0.6680589318275452,0.2246825397014618,0.553206205368042,0.98836,0.6026503164556962,332.29452562332153,1.0,0.5425237341772152,0.09913903064265543,0.09889240506329114
95,0.12060000002384186,0.1138251582278481,117.7954330444336,0.29114487767219543,1.3582763671875,0.01108,0.6017602848101266,1115.632152557373,0.6147561073303223,0.2230527549982071,0.5416667461395264,0.99428,0.5763449367088608,238.13870453834534,0.6402379870414734,0.22296713292598724,0.5446497201919556,0.99264,0.6033425632911392,332.24040603637695,1.0,0.5457871835443038,0.09887595664785832,0.09889240506329114
100,0.11559999734163284,0.1427017405063291,71.23774719238281,0.29124197363853455,1.298981785774231,0.03592,0.6048259493670886,1100.8591313362122,0.6266790628433228,0.22146961092948914,0.534241259098053,0.99224,0.5786194620253164,238.44046235084534,0.6500350832939148,0.2213945984840393,0.5379698872566223,0.99044,0.6025514240506329,333.04115748405457,0.9998007015306123,0.538370253164557,0.0989636479667863,0.09889240506329114
105,0.11291999369859695,0.11609968354430379,681.6257934570312,0.29159700870513916,1.3252286911010742,0.97276,0.5823773734177216,1100.8216190338135,0.5913863182067871,0.22025084495544434,0.5301076173782349,0.99592,0.5731803797468354,226.8200659751892,0.6140046119689941,0.22018466889858246,0.5329268574714661,0.99384,0.6030458860759493,332.67592787742615,1.0,0.5458860759493671,0.09922672192357024,0.09889240506329114
110,0.1130400002002716,0.109375,224.76768493652344,0.2921263873577118,1.3232331275939941,0.02128,0.603243670886076,1100.410311460495,0.590204656124115,0.21911250054836273,0.5241153240203857,0.99524,0.5755537974683544,227.34935402870178,0.6078421473503113,0.21905450522899628,0.5264872908592224,0.995,0.6029469936708861,312.6521112918854,0.9999601403061225,0.5447982594936709,0.0989636479667863,0.09889240506329114
115,0.1136000007390976,0.11689082278481013,26.53223991394043,0.29219135642051697,1.2750076055526733,0.03524,0.5841574367088608,1101.368586063385,0.5621544718742371,0.2181186079978943,0.516625702381134,0.99744,0.5776305379746836,216.1869387626648,0.5883524417877197,0.21837937831878662,0.5208209753036499,0.99628,0.6026503164556962,312.54372239112854,1.0,0.5456882911392406,0.09887595664785832,0.09889240506329114
