,train_acc_half_reg,test_acc_half_reg,NC1_reg,NC2_reg,NC3_reg,NC4_reg,test_acc_reg,train_time_reg,NC1,NC2,NC3,NC4,test_acc,train_time,NC1_SP,NC2_SP,NC3_SP,NC4_SP,test_acc_SP,train_time_SP,train_acc_half,test_acc_half,train_acc_half_SP,test_acc_half_SP
5,0.36267998814582825,0.364121835443038,15.745401382446289,0.35068219900131226,0.9728642106056213,0.5328,0.6080893987341772,620.5477211475372,15.948752403259277,0.322409987449646,0.9922008514404297,0.543,0.6102650316455697,1159.918560743332,15.839816093444824,0.3225724399089813,0.9933673739433289,0.5422,0.6573378164556962,863.0128643512726,0.391788903091635,0.3680775316455696,0.09980070153821488,0.09889240506329114
10,0.45739999413490295,0.4338409810126582,13.416327476501465,0.35521620512008667,0.9608524441719055,0.5676,0.6052215189873418,592.6953563690186,10.961488723754883,0.334757536649704,0.976909875869751,0.61384,0.6139240506329114,1099.0596175193787,10.986796379089355,0.3346850275993347,0.976767361164093,0.62052,0.6628757911392406,824.2318177223206,0.48694196434653536,0.4396756329113924,0.10006377549499881,0.09889240506329114
15,0.5167999863624573,0.47270569620253167,12.233458518981934,0.35353606939315796,0.9489349722862244,0.61292,0.6004746835443038,568.5792627334595,7.229760646820068,0.3360592722892761,0.9419651627540588,0.67164,0.6058148734177216,1020.1929013729095,7.331384181976318,0.33583828806877136,0.9429678320884705,0.67072,0.6490308544303798,766.1350593566895,0.548405612305719,0.47379351265822783,0.09980070153821488,0.09889240506329114
20,0.5647599697113037,0.5017800632911392,12.100707054138184,0.3466656804084778,0.9215371012687683,0.59692,0.6038370253164557,547.3359658718109,5.199367523193359,0.3302079439163208,0.9053986072540283,0.70812,0.6023536392405063,961.5065262317657,5.245908260345459,0.33007198572158813,0.9059438705444336,0.70928,0.6513053797468354,726.7812230587006,0.6110730228983626,0.5040545886075949,0.09988839285714286,0.09889240506329114
25,0.6050800085067749,0.5197784810126582,12.356355667114258,0.33847901225090027,0.8913606405258179,0.6152,0.6042325949367089,516.2054142951965,3.8124053478240967,0.32092323899269104,0.8721733689308167,0.73424,0.5979034810126582,882.4400734901428,3.9060447216033936,0.3208555281162262,0.8746152520179749,0.73812,0.6524920886075949,688.2766146659851,0.6638552297134789,0.528184335443038,0.09962531888135234,0.09889240506329114
30,0.645039975643158,0.5384691455696202,11.866554260253906,0.3298512399196625,0.8631348013877869,0.62316,0.6009691455696202,507.4342496395111,3.038449764251709,0.3099985718727112,0.8356403112411499,0.76236,0.5976068037974683,843.3493537902832,3.1147122383117676,0.3096781373023987,0.8370863795280457,0.75652,0.6415150316455697,628.8988177776337,0.7157126914481727,0.535996835443038,0.09980070153821488,0.09889240506329114
35,0.6839599609375,0.544501582278481,14.346353530883789,0.32125401496887207,0.8415048122406006,0.57616,0.5973101265822784,474.12221479415894,2.412797689437866,0.2979790270328522,0.8043399453163147,0.78072,0.5923655063291139,784.529129743576,2.4617085456848145,0.2977727949619293,0.8052628040313721,0.78008,0.6363726265822784,588.9003477096558,0.7664062499391789,0.5473694620253164,0.09997608421408401,0.09889240506329114
40,0.7231999635696411,0.555379746835443,11.382211685180664,0.3128843903541565,0.8228130340576172,0.66008,0.5975079113924051,452.8602657318115,2.0054519176483154,0.2855050563812256,0.7724024653434753,0.81112,0.5957278481012658,725.8115727901459,2.0347249507904053,0.2855663597583771,0.7739108204841614,0.80644,0.6308346518987342,550.3032433986664,0.7994818240404129,0.5510284810126582,0.10006377549499881,0.09889240506329114
45,0.7632799744606018,0.5581487341772152,17.171165466308594,0.30518731474876404,0.7910159230232239,0.56184,0.5982001582278481,421.02824330329895,1.6239054203033447,0.2733279764652252,0.7417523264884949,0.832,0.5974090189873418,667.0710833072662,1.6625865697860718,0.2731803059577942,0.7448922395706177,0.8296,0.6258900316455697,511.5331516265869,0.8687579719995966,0.5543908227848101,0.10006377549499881,0.09889240506329114
50,0.8009999990463257,0.5615110759493671,12.894182205200195,0.29761984944343567,0.7797144651412964,0.66228,0.5947389240506329,400.811311006546,1.324352502822876,0.2619418501853943,0.7108748555183411,0.86096,0.590684335443038,628.0221056938171,1.3713505268096924,0.2621070146560669,0.714694619178772,0.85416,0.6186708860759493,471.6859848499298,0.9150669644681775,0.5586431962025317,0.09980070153821488,0.09889240506329114
55,0.8410799503326416,0.5646756329113924,11.26513671875,0.29174673557281494,0.7573990821838379,0.70892,0.592068829113924,382.39183735847473,1.1233301162719727,0.2523750364780426,0.6827404499053955,0.88568,0.5888053797468354,588.4375689029694,1.1569254398345947,0.2522395849227905,0.6843849420547485,0.88304,0.6153085443037974,452.031405210495,0.9563137755102041,0.5588409810126582,0.0997130102192869,0.09889240506329114
60,0.8733199834823608,0.5603243670886076,15.946039199829102,0.28658756613731384,0.7406167387962341,0.6426,0.5922666139240507,358.4958031177521,0.9856224060058594,0.244467094540596,0.6587700843811035,0.91248,0.5877175632911392,529.5527069568634,1.0356777906417847,0.2444440722465515,0.661621630191803,0.90512,0.612440664556962,412.72737431526184,0.9752391582849075,0.5557753164556962,0.09997608421408401,0.09889240506329114
65,0.8999999761581421,0.5607199367088608,14.25499439239502,0.28319665789604187,0.7238541841506958,0.70184,0.5882120253164557,337.4127700328827,0.8935983777046204,0.23832878470420837,0.6347069144248962,0.92728,0.589003164556962,509.9667081832886,0.9350997805595398,0.23789288103580475,0.6402668952941895,0.9206,0.6193631329113924,393.11682629585266,0.9862882653061225,0.5559731012658228,0.09997608421408401,0.09889240506329114
70,0.928879976272583,0.5619066455696202,20.5272274017334,0.28139397501945496,0.714407205581665,0.67292,0.5912776898734177,316.24406242370605,0.8119943737983704,0.23374168574810028,0.6106016039848328,0.9538,0.585245253164557,490.2965476512909,0.8402923941612244,0.2335512638092041,0.6150864958763123,0.94608,0.6165941455696202,393.4848256111145,0.9939811862244898,0.5489517405063291,0.0997130102192869,0.09889240506329114
75,0.9461999535560608,0.5548852848101266,28.783069610595703,0.2813299298286438,0.7159228324890137,0.62556,0.5877175632911392,305.61161398887634,0.7348238825798035,0.23038893938064575,0.5944970846176147,0.96572,0.5888053797468354,470.16459584236145,0.7685556411743164,0.23020747303962708,0.6009791493415833,0.96056,0.6145174050632911,373.96861815452576,0.9987643494897959,0.5545886075949367,0.10006377549499881,0.09889240506329114
80,0.9617999792098999,0.5593354430379747,36.046382904052734,0.28282245993614197,0.6987988352775574,0.6372,0.5891020569620253,284.40906381607056,0.7008301615715027,0.22773408889770508,0.5780292749404907,0.97808,0.5860363924050633,450.44688844680786,0.7188445329666138,0.2276669591665268,0.5832049250602722,0.97188,0.6119462025316456,354.1652283668518,0.999641262755102,0.5560719936708861,0.10006377549499881,0.09889240506329114
85,0.9712399840354919,0.5575553797468354,45.88578414916992,0.28565505146980286,0.7074417471885681,0.65528,0.5893987341772152,277.18399930000305,0.6603712439537048,0.22567181289196014,0.5690156817436218,0.98304,0.5889042721518988,430.28285813331604,0.682755172252655,0.22567543387413025,0.5700523853302002,0.98016,0.6106606012658228,354.14210653305054,0.9998007015306123,0.5562697784810127,0.10006377549499881,0.09889240506329114
90,0.9739999771118164,0.5532041139240507,40.71038818359375,0.29009920358657837,0.7219796776771545,0.76764,0.5910799050632911,276.5798897743225,0.6225743293762207,0.22399376332759857,0.5590226650238037,0.98764,0.5900909810126582,411.64612078666687,0.6562387943267822,0.224007248878479,0.5612858533859253,0.98284,0.6099683544303798,354.17023372650146,0.9999601403061225,0.5573575949367089,0.0997130102192869,0.09889240506329114
95,0.9673599600791931,0.5540941455696202,80.36634826660156,0.29707664251327515,0.7431120872497559,0.7432,0.5896954113924051,276.5402042865753,0.6067723631858826,0.2226259559392929,0.5496336817741394,0.9914,0.5877175632911392,411.6462814807892,0.6349979639053345,0.22264757752418518,0.5518004894256592,0.98624,0.6120450949367089,334.3971064090729,0.9999601403061225,0.5566653481012658,0.09944993622448979,0.09889240506329114
100,0.764959990978241,0.5089003164556962,391.9286193847656,0.3079952001571655,0.8685246109962463,0.61436,0.5889042721518988,276.3369812965393,0.5874571204185486,0.22142595052719116,0.541367769241333,0.99304,0.5855419303797469,392.2299814224243,0.6137862205505371,0.22112618386745453,0.5474344491958618,0.99088,0.6111550632911392,334.416645526886,1.0,0.5537974683544303,0.09980070153821488,0.09889240506329114
105,0.2293199896812439,0.18937895569620253,101.2969741821289,0.32783108949661255,1.1208882331848145,0.0676,0.6287579113924051,553.170862197876,0.5676037073135376,0.22042442858219147,0.5356357097625732,0.9946,0.5861352848101266,391.8854470252991,0.595859706401825,0.2201252430677414,0.5417065024375916,0.99244,0.6144185126582279,334.6746926307678,1.0,0.5562697784810127,0.0997130102192869,0.09889240506329114
110,0.12363999336957932,0.13212025316455697,126.96772766113281,0.3368862569332123,1.2246040105819702,0.03924,0.6263844936708861,789.2202591896057,0.58464115858078,0.21953976154327393,0.5330427885055542,0.99224,0.5873219936708861,392.35655784606934,0.603278636932373,0.21924205124378204,0.5378444790840149,0.99124,0.6127373417721519,334.6816666126251,0.9997608418367347,0.5528085443037974,0.09997608421408401,0.09889240506329114
115,0.12063999474048615,0.14369066455696203,107.4013442993164,0.33617472648620605,1.292940616607666,0.0582,0.6058148734177216,1063.2833104133606,0.5403990745544434,0.21885040402412415,0.5243068337440491,0.99724,0.5857397151898734,392.41272807121277,0.5744630694389343,0.21855393052101135,0.5317160487174988,0.9944,0.6113528481012658,314.7504029273987,1.0,0.5543908227848101,0.0997130102192869,0.09889240506329114
